pallet_file,month_sheet,l1_category,l2_category,sub_category,generation,ref_slot,competitor_url,competitor_sales_note,team_upgrade_idea,source
护腕货盘.xlsx,26年04月,护腕,双向护腕,双向扭伤护腕,二代,1,https://detail.tmall.com/item.htm?abbucket=6&id=785482207904&mi_id=0000OkTfX96sqSQA4gIGMGvtjHRvNeI6WEbAR4nnhYPwi6A&ns=1&priceTId=2150477a17636313787343402e195a&skuId=5535210443394&spm=a21n57.sem.item.58.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22a470d246a1f038964f9af9c064cd6a25%22%7D&xxc=taobaoSearch,,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,货盘参考列
护腕货盘.xlsx,26年04月,护腕,双向护腕,双向扭伤护腕,二代,2,https://detail.tmall.com/item.htm?abbucket=6&id=937693751344&mi_id=00009CUWScyRfubDbfisiD9zw94_RWdDuZcovQ74hGSaifU&ns=1&priceTId=2150498a17636316182582795e1924&skuId=6054284147680&spm=a21n57.sem.item.192.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22c20d35a4333f0894a01b26f603b2520a%22%7D&xxc=taobaoSearch,,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,货盘参考列
护腕货盘.xlsx,26年04月,护腕,双向护腕,双向扭伤护腕,三代,1,https://detail.tmall.com/item.htm?abbucket=6&id=785482207904&mi_id=0000OkTfX96sqSQA4gIGMGvtjHRvNeI6WEbAR4nnhYPwi6A&ns=1&priceTId=2150477a17636313787343402e195a&skuId=5535210443394&spm=a21n57.sem.item.58.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22a470d246a1f038964f9af9c064cd6a25%22%7D&xxc=taobaoSearch,,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,货盘参考列
护腕货盘.xlsx,26年04月,护腕,双向护腕,双向扭伤护腕,三代,2,https://detail.tmall.com/item.htm?abbucket=6&id=937693751344&mi_id=00009CUWScyRfubDbfisiD9zw94_RWdDuZcovQ74hGSaifU&ns=1&priceTId=2150498a17636316182582795e1924&skuId=6054284147680&spm=a21n57.sem.item.192.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22c20d35a4333f0894a01b26f603b2520a%22%7D&xxc=taobaoSearch,,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,货盘参考列
护腕货盘.xlsx,26年04月,护腕,单向护腕,单向扭伤护腕,二代,1,https://detail.tmall.com/item.htm?abbucket=6&id=785482207904&mi_id=0000OkTfX96sqSQA4gIGMGvtjHRvNeI6WEbAR4nnhYPwi6A&ns=1&priceTId=2150477a17636313787343402e195a&skuId=5535210443394&spm=a21n57.sem.item.58.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22a470d246a1f038964f9af9c064cd6a25%22%7D&xxc=taobaoSearch,,工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,货盘参考列
护腕货盘.xlsx,26年04月,护腕,单向护腕,单向扭伤护腕,二代,2,https://detail.tmall.com/item.htm?abbucket=6&id=937693751344&mi_id=00009CUWScyRfubDbfisiD9zw94_RWdDuZcovQ74hGSaifU&ns=1&priceTId=2150498a17636316182582795e1924&skuId=6054284147680&spm=a21n57.sem.item.192.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22c20d35a4333f0894a01b26f603b2520a%22%7D&xxc=taobaoSearch,,工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,货盘参考列
护腕货盘.xlsx,26年04月,护腕,单向护腕,单向网孔护腕,未标注,,,,目前为大网孔面料，等待面料实验完成后可改为小网孔材料边缘更精致,货盘升级思路列
护腕货盘.xlsx,26年04月,护腕,TFCC,轻薄TFCC,二代,,,,①换透气网眼面料 / ②升级缝线工艺 / ③增加暖敷帖,货盘升级思路列
护腕货盘.xlsx,26年04月,护腕,TFCC,轻薄TFCC,三代,,,,①换透气网眼面料 / ②升级缝线工艺 / ③增加暖敷帖,货盘升级思路列
护腕货盘.xlsx,26年04月,护腕,TFCC,TFCC护腕,一代,,,,参考tmt针织TFCC护腕增加防滑扣,货盘升级思路列
护腕货盘.xlsx,26年04月,护腕,针织护腕,针织TFCC,一代,1,https://detail.tmall.com/item.htm?ali_refid=a3_420434_1006%3A1745744328%3AH%3AoikB22y1qn5XHb%2BurvZZv0f5NqrT%2FDvG%3Af5ab5b659252c1901db1768ff138a172&ali_trackid=282_f5ab5b659252c1901db1768ff138a172&id=917530403467&mi_id=0000ZFWZx6CTRUbTDRYiQzmY46FVuufjI3Al4TCv16WCM4U&mm_sceneid=1_0_6615118770_0&priceTId=214786e017637063401916152e1a53&skuId=5862738729737&spm=a21n57.1.hoverItem.24&utparam=%7B%22aplus_abtest%22%3A%222e69eafd82fdd241b629ae37ff080c67%22%7D&xxc=ad_ztc,,后续考虑跟换套筒面料升级为夏季款参考特步,货盘参考列
护腕货盘.xlsx,26年04月,护腕,针织护腕,针织TFCC,一代,1,https://detail.tmall.com/item.htm?ali_refid=a3_420434_1006%3A1745744328%3AH%3AoikB22y1qn5XHb%2BurvZZv0f5NqrT%2FDvG%3Af5ab5b659252c1901db1768ff138a172&ali_trackid=282_f5ab5b659252c1901db1768ff138a172&id=917530403467&mi_id=0000ZFWZx6CTRUbTDRYiQzmY46FVuufjI3Al4TCv16WCM4U&mm_sceneid=1_0_6615118770_0&priceTId=214786e017637063401916152e1a53&skuId=5862738729737&spm=a21n57.1.hoverItem.24&utparam=%7B%22aplus_abtest%22%3A%222e69eafd82fdd241b629ae37ff080c67%22%7D&xxc=ad_ztc,,后续考虑跟换套筒面料升级为夏季款参考特步,货盘参考列
护腕货盘.xlsx,26年04月,护腕,骨折护腕,双绑带骨折护腕,一代,,,,等待外露支撑板开模后可升级,货盘升级思路列
护腕货盘.xlsx,26年04月,护腕,骨折护腕,三绑带骨折护腕,一代,,,,等待外露支撑板开模后可升级,货盘升级思路列
护腕货盘.xlsx,26年04月,护腕,骨折护腕,旋钮护腕,二代,,,,等待JAFFICK上架，无问题后可跟进,货盘升级思路列
护踝货盘(5).xlsx,2026.03,护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （无绑带）,暂无,1,https://detail.tmall.com/item.htm?id=796906176537&last_time=1763358043&mi_id=0000tao4H4a6uP1yay8ZRbGpxQSkLdyJLE5bUH1r-KB3BFM&scm=1007.13982.82927.0&spm=tbpc.mytb_footmark.item.goods&upStreamPrice=3080,,①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,货盘参考列
护踝货盘(5).xlsx,2026.03,护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （无绑带）,暂无,2,https://detail.tmall.com/item.htm?id=806875245900&last_time=1763090979&mi_id=0000yuRy4X16Z6wS8AxCPS-e7rgHCI5Sg_JpnHCXwxRW4Gk&scm=1007.13982.82927.0&sku_properties=1627207%3A33001478542&spm=tbpc.mytb_footmark.item.goods&upStreamPrice=5190,,①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,货盘参考列
护踝货盘(5).xlsx,2026.03,护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,二代,1,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0,,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,货盘参考列
护踝货盘(5).xlsx,2026.03,护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,二代,2,https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,货盘参考列
护踝货盘(5).xlsx,2026.03,护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带透气款）,一代,1,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0,,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,货盘参考列
护踝货盘(5).xlsx,2026.03,护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带透气款）,一代,2,https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,货盘参考列
护踝货盘(5).xlsx,2026.03,护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带硅胶款）,二代,1,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0,,①参考KEEP硅胶垫改为热压工艺，目前存在印花上缝线问题 / ②改为网眼透气面料 / ③其余同上,货盘参考列
护踝货盘(5).xlsx,2026.03,护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带硅胶款）,二代,2,https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,,①参考KEEP硅胶垫改为热压工艺，目前存在印花上缝线问题 / ②改为网眼透气面料 / ③其余同上,货盘参考列
护踝货盘(5).xlsx,2026.03,护踝,轻薄 / 扭伤护踝,防扭伤外套,一代,1,https://detail.tmall.com/item.htm?id=806875245900&last_time=1763090979&mi_id=0000yuRy4X16Z6wS8AxCPS-e7rgHCI5Sg_JpnHCXwxRW4Gk&scm=1007.13982.82927.0&sku_properties=1627207%3A33001478542&spm=tbpc.mytb_footmark.item.goods&upStreamPrice=5190,,①可参考美津浓使用HW53网眼复合面料做不可拆卸式 / ②可参考LP做外露踝骨,货盘参考列
护踝货盘(5).xlsx,2026.03,护踝,轻薄 / 扭伤护踝,防扭伤外套,一代,2,https://detail.tmall.com/item.htm?abbucket=6&id=802790267641&mi_id=00000eK38FH2HVBBfXHR4reXSfI0M0nM2MjW5NwosWgxsnM&ns=1&priceTId=214780b217633770318395726e0e5b&skuId=5651282521783&spm=a21n57.1.hoverItem.6&utparam=%7B%22aplus_abtest%22%3A%226028b267f8c823837c2c7d8d15fad5c8%22%7D&xxc=taobaoSearch,,①可参考美津浓使用HW53网眼复合面料做不可拆卸式 / ②可参考LP做外露踝骨,货盘参考列
护踝货盘(5).xlsx,2026.03,护踝,运动护踝,交叉绑护踝,二代,1,https://detail.tmall.com/item.htm?id=809860749271&last_time=1763091314&mi_id=0000eGQmLuXNEvxXjxjc4RfuQACR-O_W46KkFlcIvbV4pFE&scm=1007.13982.82927.0&spm=tbpc.mytb_footmark.item.goods&upStreamPrice=4840,,①目前为两种面料缝合，该工艺目前来看稍显粗糙，针对该问题有两种解决方向： / 方向一：参考李宁、美津浓、安德玛，使用一体式可自粘弹力网眼面料（HW53同款） / 方向二：参考LP徕卡面料复合自粘毛面。 / 两种方法均可提高产品质感，工艺难度均可实现，成本上第二种可能更低 / ②针对防护性，参考安德玛及LP在踝骨处增加硅胶垫 / ③针对贴合度，参考LP爆款护踝，在左右两侧开孔,货盘参考列
