临时编号,模块名,模块维度,归属品牌,一句话说明,来源SKU,状态,关键参数,适用品类,不适用场景,负责人,建议归入维度,收集来源,收集时间,确认状态
TMP-PAL-护腕-001,热压（护腕-双向扭伤护腕）,结构,通用,在护腕双向扭伤护腕中出现的结构关键词，原文：①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,护腕-双向扭伤护腕-,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-002,透气（护腕-双向扭伤护腕）,功能,SERUNA,在护腕双向扭伤护腕二代中出现的功能关键词，原文：透气版本升级中,HW51,已量产,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-003,透气（护腕-双向透气护腕）,功能,TMT,在护腕双向透气护腕一代中出现的功能关键词，原文：双向透气护腕,HW89,已量产,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-004,透气（护腕-双向透气护腕）,功能,JAFFICK,在护腕双向透气护腕一代中出现的功能关键词，原文：双向透气护腕,护腕-双向透气护腕-一代,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-005,透气（护腕-双向透气护腕）,功能,ANTA,在护腕双向透气护腕一代中出现的功能关键词，原文：双向透气护腕,护腕-双向透气护腕-一代,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-006,双层（护腕-单向双层护腕）,版型,TMT,在护腕单向双层护腕未标注中出现的版型关键词，原文：单向双层护腕,HW37,已量产,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-007,双层（护腕-单向双层护腕）,版型,SERUNA,在护腕单向双层护腕未标注中出现的版型关键词，原文：单向双层护腕,护腕-单向双层护腕-未标注,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-008,双层（护腕-单向双层护腕）,版型,JAFFICK,在护腕单向双层护腕未标注中出现的版型关键词，原文：单向双层护腕,护腕-单向双层护腕-未标注,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-009,双层（护腕-单向双层护腕）,版型,ANTA,在护腕单向双层护腕未标注中出现的版型关键词，原文：单向双层护腕,9825172528,已量产,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-010,透气（护腕-轻薄TFCC）,功能,通用,在护腕轻薄TFCC中出现的功能关键词，原文：①换透气网眼面料 / ②升级缝线工艺 / ③增加暖敷帖,护腕-轻薄TFCC-,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
