module_id,reuse_idx,product_name,product_code,reuse_position,product_image_id,remark,factory_src,module_type_sheet
BX-HX-04,01,SERUNA【不对称髌骨带】BG05,,整体,ID_1260B2F6B94B411C83B6C8284434CE7D,,博凯,版型模块
BX-HX-05,02,SERUNA【不对称双条髌骨带】,,整体,ID_A701D9E4191D41CDAA760475DEC6CAE6,,博凯,版型模块
BX-HX-10,01,SERUNA【后绑式开放护膝】HX87,,整体,ID_24EE32A8BFC840379BE456AC012C39C4,,博凯,版型模块
BX-HX-11,01,SERUNA【护膝HX61升级款】C-HX103,,整体,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,版型模块
BX-HY-05,01,SERUNA【睡眠护腰】HY63,,主体,ID_C19D94A023C74A3DB9E34497AA4564A6,,博凯,版型模块
BX-HY-06,01,SERUNA【樱花护腰】HY61,,整体,ID_9FE32378525245A5A732CB2A85A1C2E1,,博凯,版型模块
BX-HW-03,01,TMT【腱鞘炎腕带】HW77,,整体,ID_CFD6A20359014D558278A7731695F204,,博凯,版型模块
BX-HW-04,01,seruna运动护腕黑色HW35,,主体,ID_96236383332B4F5F87EAD825FC13B1F1,,博凯,版型模块
BX-HW-04,02,TMT【透气扭伤护腕】HW89,,整体,ID_FA5FDC29E9ED4C349B8766C12508E609,,博凯,版型模块
BX-HW-04,03,JAFFICK【扭伤护腕】HW93,,整体,ID_041C376A18664C31ABAEADADA9422F4A,,博凯,版型模块
BX-HW-04,04,TMT康复【扭伤护腕】,,整体,ID_EDB19363B8A748708EEE721C66A7A579,,博凯,版型模块
BX-HW-05,01,TMT【羽毛球护腕】HW65,,整体,ID_7589AC0256CA45A4882CC05C90E84188,,博凯,版型模块
BX-HW-06,01,JAFFICK护腕黑色JHW38,,主体,ID_B531DADDA37D476BA9DD2D03AB22AD21,,博凯,版型模块
BX-HW-09,01,seruna三绑带骨折护腕黑色HW99,,主体,ID_B94F3F97062449BD8E4ECF6FF8955311,,博凯,版型模块
BX-HW-09,02,TMT三绑带骨折护腕黑色HW99-T,,主体,ID_A5C72CCACAD0497D927F8529068164CD,,博凯,版型模块
BX-HW-09,03,jaffick三绑带骨折护腕黑色HW95,,主体,ID_D8F401909F9A4D538267B69E74D11ECB,,博凯,版型模块
BX-HW-09,04,TMT康复【轻薄透气T-comb 骨折护腕】黑色C-HW113,,主体,ID_79EBB74DC80F4F838BDA853B6D771B2B,,博凯,版型模块
BX-HW-10,01,seruna骨折护腕卡扣款黑色、灰色HW63,,金属支撑,ID_5C9F143A71D7451C80B27C380BD05669,,博凯,版型模块
BX-HW-10,02,TMT康复骨折护腕卡扣款灰色HW63-T,,金属支撑,ID_BDCE5B18735D4DB188C8544B0D5947E9,,博凯,版型模块
BX-HW-10,01,JAFFICK【滚轮护腕】HW101,,整体,ID_BAD57A8906FE44E5856F734FDA0AD10C,,博凯,版型模块
BX-HW-11,01,SERUNA【拇指腱鞘炎护腕】HW81,,整体,ID_9FE1B57C040B4307894F5A0871096994,,博凯,版型模块
BX-HW-12,01,SERUNA【TFCC压胶护腕】HW53,,整体,ID_ED0A60E521AD4780A3CEE5A5A7FD3B7A,,博凯,版型模块
BX-HW-13,01,JAFFICK【拇指腱鞘炎护腕2.0】C-HW119,,整体,ID_036398A18A344C7CB1D3821939281584,,博凯,版型模块
BX-HH-01,01,SERUNA【透气扭伤护踝】HH25,,主体,ID_47423D3374C64DEDB9E3608AA8D21090,,博凯,版型模块
BX-HH-01,01,JAFFICK【扭伤护踝】HH35,,大身版型,ID_35FC196798334000875807AE40B464DA,,博凯,版型模块
BX-HH-01,02,JAFFICK【扭伤护踝透气款】HH33,,大身版型,ID_3FBEE3F86BDA4AC8B357F09D54CAB3D3,,博凯,版型模块
BX-HH-01,03,JAFFICK【扭伤护踝2.0】,,大身版型,ID_E10288F3CB414FBAA44FC7459F15DE31,,博凯,版型模块
BX-HH-01,04,TMT康复【扭伤护踝】HH45,,大身版型,ID_49443F4DC8014DB488E4A8DC2EDEBEF5,,博凯,版型模块
BX-HH-05,01,SERUNA【二级防护骨折护踝】HH23,,整体,ID_1E0954B6E0AD45C6B07196FD368507CA,,博凯,版型模块
BX-HH-05,02,JAFFICK【二级骨折护踝】黑色HH31,,整体,ID_C4EBC0524CCC45039016CC2DED00D55F,,博凯,版型模块
BX-HH-06,01,seruna骨折护踝黑色HH43,,整体,ID_4283E195B5B54BBC855E86EDD8484350,,博凯,版型模块
BX-HH-07,01,SERUNA【筋膜炎护踝】C-HH53,,整体,ID_11FA503241064AED836AFED1812B7BB3,,博凯,版型模块
02.01.01,01,seruna三绑带骨折护腕黑色,HW99,主体,ID_B94F3F97062449BD8E4ECF6FF8955311,,博凯,面料模块
02.01.01,02,TMT三绑带骨折护腕黑色,HW99-T,主体,ID_A5C72CCACAD0497D927F8529068164CD,,博凯,面料模块
02.01.01,03,jaffick三绑带骨折护腕黑色,HW95,主体,ID_D8F401909F9A4D538267B69E74D11ECB,,博凯,面料模块
02.01.01,04,TMT康复【轻薄透气T-comb 骨折护腕】黑色,C-HW113,主体,ID_79EBB74DC80F4F838BDA853B6D771B2B,,博凯,面料模块
02.01.01,05,seruna骨折护腕卡扣款黑色,HW63,主体,ID_F5DEDA68C75747C5B63204F341F39359,,博凯,面料模块
02.01.01,06,seruna骨折护踝黑色,HH43,主体,ID_4283E195B5B54BBC855E86EDD8484350,,博凯,面料模块
02.01.01,07,JAFFICK【滚轮护腕】黑色,HW101,主体,ID_CDDA686C1C2C4341B16DD381732E99A2,,博凯,面料模块
02.01.02,01,seruna三绑带骨折护腕灰色,HW99,主体,ID_7E4BFD5BDD2E425C96E3CC8053CF9990,,博凯,面料模块
02.01.02,02,三绑带骨折护腕灰色,HW99-T,主体,ID_75EA466636154758A7ED6814094AE3B6,,博凯,面料模块
02.01.02,03,TMT康复【轻薄透气T-comb 骨折护腕】灰色,C-HW113,主体,ID_79EBB74DC80F4F838BDA853B6D771B2B,新产品未上线灰色成品无照片,博凯,面料模块
02.01.02,04,seruna骨折护腕卡扣款灰色,HW63,主体,ID_5C9F143A71D7451C80B27C380BD05669,,博凯,面料模块
02.01.02,05,TMT康复骨折护腕卡扣款灰色,HW63-T,主体,ID_BDCE5B18735D4DB188C8544B0D5947E9,,博凯,面料模块
02.01.02,06,seruna骨折护踝灰色,HH43,主体,ID_4283E195B5B54BBC855E86EDD8484350,未上线灰色成品无照片,博凯,面料模块
02.01.02,07,JAFFICK【滚轮护腕】灰色,HW101,主体,ID_21AAE3ECDD784017A123CA43D2509887,,博凯,面料模块
02.02.01,01,seruna三绑带骨折护腕黑色,HW99,附件,ID_B94F3F97062449BD8E4ECF6FF8955311,,博凯,面料模块
02.02.01,02,TMT三绑带骨折护腕黑色,HW99-T,附件,ID_A5C72CCACAD0497D927F8529068164CD,,博凯,面料模块
02.02.01,03,jaffick三绑带骨折护腕黑色,HW95,附件,ID_D8F401909F9A4D538267B69E74D11ECB,,博凯,面料模块
02.02.01,04,TMT康复【轻薄透气T-comb 骨折护腕】黑色,C-HW113,附件,ID_79EBB74DC80F4F838BDA853B6D771B2B,,博凯,面料模块
02.02.01,05,JAFFICK【滚轮护腕】黑色,HW101,主体,ID_CDDA686C1C2C4341B16DD381732E99A2,,博凯,面料模块
02.02.02,01,seruna三绑带骨折护腕灰色,HW99,附件,ID_7E4BFD5BDD2E425C96E3CC8053CF9990,,博凯,面料模块
02.02.02,02,TMT三绑带骨折护腕灰色,HW99-T,附件,ID_75EA466636154758A7ED6814094AE3B6,,博凯,面料模块
02.02.02,03,TMT康复【轻薄透气T-comb 骨折护腕】灰色,C-HW113,附件,ID_79EBB74DC80F4F838BDA853B6D771B2B,未上线灰色成品无照片,博凯,面料模块
02.02.02,04,JAFFICK【滚轮护腕】灰色,HW101,主体,ID_21AAE3ECDD784017A123CA43D2509887,,博凯,面料模块
02.02.03,01,seruna骨折护腕卡扣款黑色,HW63,附件,ID_F5DEDA68C75747C5B63204F341F39359,,博凯,面料模块
02.02.03,02,seruna扭伤护踝透气版黑色,HH25,附件,ID_DF15C9B39700459F8C964B883278D9E2,,博凯,面料模块
02.02.04,01,seruna骨折护腕卡扣款灰色,HW63,附件,ID_5C9F143A71D7451C80B27C380BD05669,,博凯,面料模块
02.02.04,02,TMT康复骨折护腕卡扣款灰色,HW63-T,附件,ID_BDCE5B18735D4DB188C8544B0D5947E9,,博凯,面料模块
02.02.04,03,seruna扭伤护踝透气版灰色,HH25,附件,ID_C23301DCBADF4472AC7FDF47C6CEA86D,,博凯,面料模块
02.02.04,04,seruna骨折护踝灰色,HH43,附件,ID_4283E195B5B54BBC855E86EDD8484350,未上线灰色成品无照片,博凯,面料模块
02.02.05,01,seruna骨折护踝黑色,HH43,附件,ID_4283E195B5B54BBC855E86EDD8484350,,博凯,面料模块
02.02.06,01,seruna樱花护腰白色,HY61,附件,ID_1E01AFD5EE0F42A9B8759EE91C35E4C2,,博凯,面料模块
02.03.01,01,seruna三绑带骨折护腕黑色,HW99,绑带,ID_B94F3F97062449BD8E4ECF6FF8955311,,博凯,面料模块
02.03.01,02,TMT三绑带骨折护腕黑色,HW99-T,绑带,ID_A5C72CCACAD0497D927F8529068164CD,,博凯,面料模块
