module_id,module_type_sheet,module_type_col,module_name,size,factory_src,factory_col,design_time,material,color,price,remark,image_front_id,image_back_id,source_sheet,source_file,row_in_sheet,ingested_at
BX-HX-04,版型模块,,莱卡夹胶复合面料,385mm*60mm,博凯,博凯,2025.07.04,莱卡夹胶复合面料,,,,ID_799AA3A8FE0043F4AD912B6133183845,ID_C9E081DEC7BE4963BA43010B8ABF4DFD,版型模块,博凯模块库,3,2026-06-01
BX-HX-05,版型模块,,莱卡夹胶复合面料,195mm*50mm,博凯,博凯,2025.09.25,莱卡夹胶复合面料,,,,ID_A58919261D374ADE80705D4ABB41953C,,版型模块,博凯模块库,4,2026-06-01
BX-HX-10,版型模块,,双面复合摇粒绒,475mm*265mm,博凯,博凯,2025.09.12,双面复合摇粒绒,,,,ID_E7B5B7CC77154AA8B4ED56CB376CA6D6,,版型模块,博凯模块库,5,2026-06-01
BX-HX-11,版型模块,,莱卡TPU复合面料,564.3mm*205.7mm,博凯,博凯,2025.12.16,莱卡TPU复合面料,,,,ID_BFBE21319B134D7E906B79FA95EDB9EA,,版型模块,博凯模块库,6,2026-06-01
BX-HY-05,版型模块,,带孔亲肤复合面料,900mm*180mm,博凯,博凯,2025.07.11,带孔亲肤复合面料,,,,ID_FD47099BB92F42549839B89010E45EF8,ID_1C3E630CCEA144879A372DFE949C964B,版型模块,博凯模块库,7,2026-06-01
BX-HY-06,版型模块,,透气弹性复合面料,1100mm*255mm,博凯,博凯,-,透气弹性复合面料,,,,,ID_8247AB490AEB479CA48179E259653226,版型模块,博凯模块库,8,2026-06-01
BX-HW-03,版型模块,,方形弹力网布【升级不变形】,245mm*50mm,博凯,博凯,-,方形弹力网布【升级不变形】,,,,,,版型模块,博凯模块库,9,2026-06-01
BX-HW-04,版型模块,,高弹透气针织布,520mm*155mm,博凯,博凯,-,高弹透气针织布,,,,ID_68462AFB6032432B8420A712B5D622ED,,版型模块,博凯模块库,10,2026-06-01
BX-HW-05,版型模块,,莱卡高弹力针织布,450mm*55mm,博凯,博凯,2025.06.25,莱卡高弹力针织布,,,,ID_27C6426A524A426285DB530488206548,ID_36925985D4C041B5B6931ABDED142B17,版型模块,博凯模块库,14,2026-06-01
BX-HW-06,版型模块,,N裸感布黑色对贴,,博凯,博凯,,N裸感布黑色对贴,,,,ID_B531DADDA37D476BA9DD2D03AB22AD21,,版型模块,博凯模块库,15,2026-06-01
BX-HW-09,版型模块,,透气网孔三明治布,195mm*180mm,博凯,博凯,2025.06.04,透气网孔三明治布,,,,ID_7D36FE6E205F4FED88A1A9F57FD0081B,ID_D955E46661FD4C01BF5EBCE6BE5E0C8C,版型模块,博凯模块库,16,2026-06-01
BX-HW-10,版型模块,,透气网孔三明治布,,博凯,博凯,,透气网孔三明治布,,,,,,版型模块,博凯模块库,20,2026-06-01
BX-HW-10,版型模块,,透气网孔三明治布,,博凯,博凯,2025.09.25,透气网孔三明治布,,,,ID_400FB51264FC4B7CA1E0D36712C8B505,,版型模块,博凯模块库,22,2026-06-01
BX-HW-11,版型模块,,锦氨网眼布,270mm*112.3mm,博凯,博凯,2025.08.30,锦氨网眼布,,,,ID_A7C7C7D2785D43208C6D0D296B82AAF0,,版型模块,博凯模块库,23,2026-06-01
