图片,商家编码,店铺,品牌,分类,货品编号,货品名称,货品简称,规格码,规格名称,均价,零售价,批发价,会员价,市场价,最低价,ERP价格,自定义价格2,折扣率,发货总量,发货赠品总量,退货总量,批次,批次发货量,实际销售量,邮资收入,发货总金额,未知成本销售总额,佣金成本,货品总成本,货品总利润,退货总金额,退货总成本,发货总金额-发货后实际退款金额,实际货品总成本,实际货品总利润,毛利率%,发货后实际退款金额,发货总金额-退货总金额,单品支付总额,sku_full_id,is_zero_sales
https://img.alicdn.com/bao/uploaded/i4/2139477295/O1CN01gLluHb23l9uc9WEYd_!!2139477295.jpg,W68-fenhuiMA,TMT运动户外装备店,TMT,手套,W68,W68手套,W68,fenhuiMA,粉灰M,60,60,0,0,0,0,25.7,0,1.0000,1,0,0,,,1,0,60,0,0,19.6,40.4,0,0,60,19.6,40.4,67.3333,0,60,60,W68-fenhuiMA,否
https://img.alicdn.com/bao/uploaded/i3/2139477295/O1CN01zhDzRd23l9u9dGbMU_!!2139477295.jpg,H70XLA,TMT运动户外装备店,TMT,护踝,H70,H70护踝,H70,XLA,XL,200,200,0,0,0,0,22,0,1.0000,1,0,0,,,1,0,200,0,0,17.01,182.99,0,0,200,17.01,182.99,91.4975,0,200,200,H70-XLA,否
https://img.pddpic.com/mms-material-img/2020-07-18/64926111-b0bf-427b-9701-901cb3b6c558.jpg,ZB64-dianchiA,TMT运动户外旗舰店,TMT,跳绳配件,ZB64,ZB64电池,ZB64,dianchiA,电池,10,10,0,0,0,0,0.1,0,1.0000,2,0,0,,,2,0,20,0,0,0,20,0,0,20,0,20,100,0,20,20,ZB64-dianchiA,否
https://img.alicdn.com/bao/uploaded/i2/1790737720/O1CN01leL2FF26toEL230uO_!!1790737720.jpg,YS57SA,TMT运动户外旗舰店,TMT,暴汗护腰,YS57,YS57护腰,YS57,SA,S,46.26,80,0,0,0,0,25.8,0,0.5782,7,0,3,,,4,0,323.8,0,0,154,169.8,184.2,66,323.8,88,51.6,36.963,0,139.6,323.8,YS57-SA,否
https://img.alicdn.com/bao/uploaded/i2/1790737720/O1CN01leL2FF26toEL230uO_!!1790737720.jpg,YS57MA,TMT运动户外旗舰店,TMT,暴汗护腰,YS57,YS57护腰,YS57,MA,M,55.79,80,0,0,0,0,25.8,0,0.6974,34,0,1,,,33,0,1897,0,0,749.09,1147.91,61.4,22.03,1897,727.06,1108.54,60.3914,0,1835.6,1897,YS57-MA,否
https://img.alicdn.com/bao/uploaded/i1/1790737720/O1CN01XffgU526toE1SQEWt_!!0-item_pic.jpg,W71MA,TMT运动户外旗舰店,TMT,手套,W71,W71手套,W71,MA,M,43.36,40,0,0,0,0,26.5,0,1.0841,31,0,4,,,27,0,1344.3,0,0,626.2,718.1,171.2,80.8,1344.3,545.4,627.7,53.5078,0,1173.1,1344.3,W71-MA,否
https://img.alicdn.com/bao/uploaded/i1/1790737720/O1CN01XffgU526toE1SQEWt_!!0-item_pic.jpg,W71XLA,TMT运动户外旗舰店,TMT,手套,W71,W71手套,W71,XLA,XL,42.98,40,0,0,0,0,26.5,0,1.0744,40,0,3,,,37,0,1719.1,0,0,808,911.1,128.4,60.6,1719.1,747.4,843.3,53.0144,0,1590.7,1719.1,W71-XLA,否
https://img.alicdn.com/bao/uploaded/i1/1790737720/O1CN01XffgU526toE1SQEWt_!!0-item_pic.jpg,W71LA,TMT运动户外旗舰店,TMT,手套,W71,W71手套,W71,LA,L,41.82,40,0,0,0,0,26.5,0,1.0454,73,0,4,,,69,0,3052.6,0,0,1474.6,1578,178.4,80.8,3052.6,1393.8,1480.4,51.5065,0,2874.2,3052.6,W71-LA,否
http://gw.alicdn.com/tfs/TB1d0h2qVYqK1RjSZLeXXbXppXa-1125-960.png,WLSF,TMT运动户外旗舰店,TMT,赠品,WLSF,顺丰寄付,顺丰寄付,,,2.23,0,0,0,0,0,0,0,0.0000,120,104,0,,,120,0,267.1,0,0,0,267.1,0,0,267.1,0,267.1,100,0,267.1,267.1,WLSF,否
https://img.alicdn.com/bao/uploaded/i4/2139477295/O1CN01gLluHb23l9uc9WEYd_!!2139477295.jpg,W68-fenhuiSA,TMT运动户外旗舰店,TMT,手套,W68,W68手套,W68,fenhuiSA,粉灰S,49.77,60,0,0,0,0,25.7,0,0.8294,12,0,1,,,11,0,597.2,0,0,235.2,362,59.8,19.6,597.2,215.6,321.8,59.8809,0,537.4,597.2,W68-fenhuiSA,否
https://img.alicdn.com/bao/uploaded/i1/2139477295/O1CN01HZeEWv23l9ueOBPYa_!!2139477295.jpg,W68-heihuiMA,TMT运动户外旗舰店,TMT,手套,W68,W68手套,W68,heihuiMA,黑灰M,42.5,60,0,0,0,0,25.7,0,0.7083,5,0,1,,,4,0,212.5,0,0,98,114.5,45.8,19.6,212.5,78.4,88.3,52.9694,0,166.7,212.5,W68-heihuiMA,否
https://img.alicdn.com/bao/uploaded/i4/2139477295/O1CN01gLluHb23l9uc9WEYd_!!2139477295.jpg,W68-fenhuiMA,TMT运动户外旗舰店,TMT,手套,W68,W68手套,W68,fenhuiMA,粉灰M,49.99,60,0,0,0,0,25.7,0,0.8331,7,0,1,,,6,0,349.9,0,0,137.2,212.7,45.8,19.6,349.9,117.6,186.5,61.3285,0,304.1,349.9,W68-fenhuiMA,否
https://img.alicdn.com/bao/uploaded/i1/2139477295/O1CN01HZeEWv23l9ueOBPYa_!!2139477295.jpg,W68-heihuiSA,TMT运动户外旗舰店,TMT,手套,W68,W68手套,W68,heihuiSA,黑灰S,44.4,60,0,0,0,0,25.7,0,0.7400,3,0,0,,,3,0,133.2,0,0,58.8,74.4,0,0,133.2,58.8,74.4,55.8559,0,133.2,133.2,W68-heihuiSA,否
https://img.alicdn.com/bao/uploaded/i1/2139477295/O1CN01e26GXP23l9tJMfWI1_!!2139477295.jpg,TS50hong-9A,TMT运动户外旗舰店,TMT,跳绳,TS50,双轴,TS50,hong-9A,红色9.0,24.82,50,0,0,0,0,16.38,0,0.4964,5,0,0,,,5,0,124.1,0,0,0,124.1,0,0,124.1,0,124.1,100,0,124.1,124.1,TS50-hong-9A,否
https://img.alicdn.com/bao/uploaded/i2/2139477295/O1CN01UKnR9J23l9tRKEzak_!!2139477295.png,TS50hui-9A,TMT运动户外旗舰店,TMT,跳绳,TS50,双轴,TS50,hui-9A,灰色9.0,26.8,50,0,0,0,0,16.38,0,0.5360,1,0,0,,,1,0,26.8,0,0,0.09,26.71,0,0,26.8,0.09,26.71,99.6705,0,26.8,26.8,TS50-hui-9A,否
https://img.alicdn.com/bao/uploaded/i1/2139477295/O1CN01EHJG9m23l9rmcF5yz_!!2139477295.jpg,JC01-heiA,TMT运动户外旗舰店,TMT,皮质卷尺,JC01,JC01皮质卷尺,JC01,heiA,黑色,23.3,20,0,0,0,0,5,0,1.1650,2,0,0,,,2,0,46.6,0,0,0,46.6,0,0,46.6,0,46.6,100,0,46.6,46.6,JC01-heiA,否
https://img.alicdn.com/bao/uploaded/i2/2139477295/O1CN01R5va1c23l9tEBbuxp_!!2139477295.jpg,EB01-2000*0.45fenA,TMT运动户外旗舰店,TMT,弹力带,EB01,EB01弹力带,EB01,2000*0.45-fenA,2000*0.45粉,19.9,25,0,0,0,0,5.5,0,0.7960,1,0,0,,,1,0,19.9,0,0,3.9,16,0,0,19.9,3.9,16,80.402,0,19.9,19.9,EB01-2000*0.45-fenA,否
https://img.alicdn.com/bao/uploaded/i2/1790737720/O1CN01RpnsA826toCLLIcIH_!!1790737720.jpg,Y81-heiLA,TMT运动户外旗舰店,TMT,健身护腰,Y81,Y81护腰,Y81,heiLA,黑色L,111.1,100,0,0,0,0,65.52,0,1.1110,61,0,5,,,56,0,6777.3,0,0,3111,3666.3,594.5,255,6777.3,2856,3326.8,53.8073,0,6182.8,6777.3,Y81-heiLA,否
https://img.alicdn.com/bao/uploaded/i4/1790737720/O1CN013S5iou26toC5FiyXi_!!1790737720.jpg,Y81-huangMA,TMT运动户外旗舰店,TMT,健身护腰,Y81,Y81护腰,Y81,huangMA,黄色M,118.9,100,0,0,0,0,65.52,0,1.1890,34,0,5,,,29,0,4042.6,0,0,1734,2308.6,594.5,255,4042.6,1479,1969.1,57.1068,0,3448.1,4042.6,Y81-huangMA,否
https://img.alicdn.com/bao/uploaded/i4/1790737720/O1CN013S5iou26toC5FiyXi_!!1790737720.jpg,Y81-huangXLA,TMT运动户外旗舰店,TMT,健身护腰,Y81,Y81护腰,Y81,huangXLA,黄色XL,105.69,100,0,0,0,0,65.52,0,1.0569,9,0,1,,,8,0,951.2,0,0,459,492.2,118.9,51,951.2,408,424.3,50.9792,0,832.3,951.2,Y81-huangXLA,否
https://img.alicdn.com/bao/uploaded/i2/1790737720/O1CN01RpnsA826toCLLIcIH_!!1790737720.jpg,Y81-heiMA,TMT运动户外旗舰店,TMT,健身护腰,Y81,Y81护腰,Y81,heiMA,黑色M,117.79,100,0,0,0,0,65.52,0,1.1779,107,0,13,,,94,0,12603.4,0,0,5457,7146.4,1545.7,663,12603.4,4794,6263.7,56.6456,0,11057.7,12603.4,Y81-heiMA,否
https://img.alicdn.com/bao/uploaded/i2/1790737720/O1CN01RpnsA826toCLLIcIH_!!1790737720.jpg,Y81-heiXLA,TMT运动户外旗舰店,TMT,健身护腰,Y81,Y81护腰,Y81,heiXLA,黑色XL,118.9,100,0,0,0,0,65.52,0,1.1890,19,0,3,,,16,0,2259.1,0,0,969,1290.1,356.7,153,2259.1,816,1086.4,57.1069,0,1902.4,2259.1,Y81-heiXLA,否
https://img.alicdn.com/bao/uploaded/i4/1790737720/O1CN013S5iou26toC5FiyXi_!!1790737720.jpg,Y81-huangLA,TMT运动户外旗舰店,TMT,健身护腰,Y81,Y81护腰,Y81,huangLA,黄色L,118.9,100,0,0,0,0,65.52,0,1.1890,13,0,1,,,12,8.5,1545.7,0,0,663,882.7,118.9,51,1545.7,612,814.8,57.1068,0,1426.8,1554.2,Y81-huangLA,否
