品类,二级品类,版型(细分品类),代际,品牌,货号,销量,状态,本代升级情况,细分品类后续升级思路,竞品参考链接,数据来源,数据来源sheet
护腕,双向护腕,双向扭伤护腕,一代,TMT,HW35,8615-902=7713+4055=11768,已量产,,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向扭伤护腕,一代,SERUNA,HW35,,未知,,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向扭伤护腕,一代,JAFFICK,HW93,172-25=147,已量产,,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向扭伤护腕,二代,TMT,C-HW109,499-100=399,已量产,2026.01上架,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,https://detail.tmall.com/item.htm?abbucket=6&id=785482207904&mi_id=0000OkTfX96sqSQA4gIGMGvtjHRvNeI6WEbAR4nnhYPwi6A&ns=1&priceTId=2150477a17636313787343402e195a&skuId=5535210443394&spm=a21n57.sem.item.58.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22a470d246a1f038964f9af9c064cd6a25%22%7D&xxc=taobaoSearch | https://detail.tmall.com/item.htm?abbucket=6&id=937693751344&mi_id=00009CUWScyRfubDbfisiD9zw94_RWdDuZcovQ74hGSaifU&ns=1&priceTId=2150498a17636316182582795e1924&skuId=6054284147680&spm=a21n57.sem.item.192.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22c20d35a4333f0894a01b26f603b2520a%22%7D&xxc=taobaoSearch,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向扭伤护腕,二代,SERUNA,HW51,3258-398=2860+276=3136,已量产,透气版本升级中,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,https://detail.tmall.com/item.htm?abbucket=6&id=785482207904&mi_id=0000OkTfX96sqSQA4gIGMGvtjHRvNeI6WEbAR4nnhYPwi6A&ns=1&priceTId=2150477a17636313787343402e195a&skuId=5535210443394&spm=a21n57.sem.item.58.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22a470d246a1f038964f9af9c064cd6a25%22%7D&xxc=taobaoSearch | https://detail.tmall.com/item.htm?abbucket=6&id=937693751344&mi_id=00009CUWScyRfubDbfisiD9zw94_RWdDuZcovQ74hGSaifU&ns=1&priceTId=2150498a17636316182582795e1924&skuId=6054284147680&spm=a21n57.sem.item.192.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22c20d35a4333f0894a01b26f603b2520a%22%7D&xxc=taobaoSearch,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向扭伤护腕,二代,JAFFICK,,,未知,已有JAFFICK二代视觉在升级 （打样中）,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,https://detail.tmall.com/item.htm?abbucket=6&id=785482207904&mi_id=0000OkTfX96sqSQA4gIGMGvtjHRvNeI6WEbAR4nnhYPwi6A&ns=1&priceTId=2150477a17636313787343402e195a&skuId=5535210443394&spm=a21n57.sem.item.58.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22a470d246a1f038964f9af9c064cd6a25%22%7D&xxc=taobaoSearch | https://detail.tmall.com/item.htm?abbucket=6&id=937693751344&mi_id=00009CUWScyRfubDbfisiD9zw94_RWdDuZcovQ74hGSaifU&ns=1&priceTId=2150498a17636316182582795e1924&skuId=6054284147680&spm=a21n57.sem.item.192.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22c20d35a4333f0894a01b26f603b2520a%22%7D&xxc=taobaoSearch,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向扭伤护腕,二代,ANTA,9825372524R,3-1=2,已量产,等待SERUNA打样成功后可补齐,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,https://detail.tmall.com/item.htm?abbucket=6&id=785482207904&mi_id=0000OkTfX96sqSQA4gIGMGvtjHRvNeI6WEbAR4nnhYPwi6A&ns=1&priceTId=2150477a17636313787343402e195a&skuId=5535210443394&spm=a21n57.sem.item.58.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22a470d246a1f038964f9af9c064cd6a25%22%7D&xxc=taobaoSearch | https://detail.tmall.com/item.htm?abbucket=6&id=937693751344&mi_id=00009CUWScyRfubDbfisiD9zw94_RWdDuZcovQ74hGSaifU&ns=1&priceTId=2150498a17636316182582795e1924&skuId=6054284147680&spm=a21n57.sem.item.192.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22c20d35a4333f0894a01b26f603b2520a%22%7D&xxc=taobaoSearch,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向扭伤护腕,三代,JAFFICK,C-HW123,263-11=252,已量产,2026.4上架,①虎口处加厚，减少勒手的压力。 / ②工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,https://detail.tmall.com/item.htm?abbucket=6&id=785482207904&mi_id=0000OkTfX96sqSQA4gIGMGvtjHRvNeI6WEbAR4nnhYPwi6A&ns=1&priceTId=2150477a17636313787343402e195a&skuId=5535210443394&spm=a21n57.sem.item.58.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22a470d246a1f038964f9af9c064cd6a25%22%7D&xxc=taobaoSearch | https://detail.tmall.com/item.htm?abbucket=6&id=937693751344&mi_id=00009CUWScyRfubDbfisiD9zw94_RWdDuZcovQ74hGSaifU&ns=1&priceTId=2150498a17636316182582795e1924&skuId=6054284147680&spm=a21n57.sem.item.192.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22c20d35a4333f0894a01b26f603b2520a%22%7D&xxc=taobaoSearch,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向透气护腕,一代,TMT,HW89,249-25=224,已量产,2025.10上架,,,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向透气护腕,一代,SERUNA,,,未知,丁厂打样中，无问题后SERUNA可跟进,,,护腕货盘.xlsx,2026年4月
